"play","step","Systems / 205","Neuroptics / 207","Circuits / 209","Runs / 228"
"66","0","0","0","0","0"
"66","1","0","0","34","1"
"66","2","0","0","74","2"
"66","3","1","0","119","3"
"66","4","1","0","160","4"
"66","5","1","0","212","5"
"66","6","2","0","251","6"
"66","7","2","1","287","7"
"66","8","2","1","329","8"
"66","9","2","2","367","9"
"66","10","2","2","404","10"
"66","11","2","2","454","11"
"66","12","3","2","499","12"
"66","13","3","2","538","13"
"66","14","3","3","557","14"
"66","15","3","3","599","15"
"66","16","3","4","646","16"
"66","17","3","4","677","17"
"66","18","3","5","696","18"
"66","19","3","5","735","19"
"67","0","0","0","0","0"
"67","1","1","0","35","1"
"67","2","1","1","71","2"
"67","3","1","2","104","3"
"67","4","1","3","151","4"
"67","5","1","3","188","5"
"67","6","1","4","216","6"
"67","7","2","4","251","7"
"67","8","3","4","294","8"
"67","9","3","4","342","9"
"67","10","3","5","388","10"
"67","11","3","6","416","11"
"67","12","4","6","463","12"
"67","13","4","6","507","13"
"67","14","5","6","545","14"
"67","15","5","6","578","15"
"67","16","5","6","621","16"
"67","17","5","7","642","17"
"67","18","6","7","679","18"
"67","19","6","8","708","19"
"68","0","0","0","0","0"
"68","1","1","0","40","1"
"68","2","1","0","93","2"
"68","3","1","1","131","3"
"68","4","1","1","162","4"
"68","5","2","1","214","5"
"68","6","2","2","231","6"
"68","7","2","2","257","7"
"68","8","2","3","275","8"
"68","9","2","3","318","9"
"68","10","2","4","361","10"
"68","11","2","4","396","11"
"68","12","2","4","441","12"
"68","13","2","5","485","13"
"68","14","2","6","512","14"
"68","15","3","6","555","15"
"68","16","4","6","590","16"
"68","17","4","6","643","17"
"68","18","4","7","681","18"
"68","19","5","7","731","19"
"69","0","0","0","0","0"
"69","1","0","0","25","1"
"69","2","1","0","53","2"
"69","3","1","1","88","3"
"69","4","1","1","139","4"
"69","5","1","1","189","5"
"69","6","1","2","228","6"
"69","7","1","3","276","7"
"69","8","1","3","318","8"
"69","9","2","3","346","9"
