"play","step","Systems / 205","Neuroptics / 207","Circuits / 209","Runs / 228"
"96","0","0","0","0","0"
"96","1","0","0","87","1"
"96","2","0","0","165","2"
"96","3","1","0","209","3"
"96","4","1","1","249","4"
"96","5","1","2","312","5"
"96","6","1","3","376","6"
"96","7","2","3","422","7"
"96","8","2","4","509","8"
"96","9","2","5","582","9"
"96","10","2","6","631","10"
"96","11","2","7","712","11"
"97","0","0","0","0","0"
"97","1","0","0","84","1"
"97","2","0","1","170","2"
"97","3","0","2","228","3"
"97","4","0","3","294","4"
"97","5","0","4","356","5"
"97","6","0","5","423","6"
"97","7","0","5","480","7"
"97","8","0","5","584","8"
"97","9","0","5","630","9"
"97","10","1","5","709","10"
"98","0","0","0","0","0"
"98","1","0","0","78","1"
"98","2","0","0","152","2"
"98","3","1","0","232","3"
"98","4","1","0","310","4"
"98","5","1","0","375","5"
"98","6","1","1","433","6"
"98","7","1","2","523","7"
"98","8","2","2","599","8"
"98","9","2","2","681","9"
"98","10","2","3","779","10"
"99","0","0","0","0","0"
"99","1","1","0","68","1"
"99","2","1","0","142","2"
"99","3","2","0","203","3"
"99","4","3","0","279","4"
"99","5","3","1","340","5"
"99","6","3","1","389","6"
"99","7","4","1","462","7"
"99","8","4","2","518","8"
"99","9","4","3","560","9"
"99","10","4","4","610","10"
"99","11","4","5","697","11"
"99","12","4","6","765","12"
"100","0","0","0","0","0"
"100","1","0","1","63","1"
"100","2","0","1","141","2"
"100","3","0","1","206","3"
"100","4","0","2","297","4"
"100","5","0","2","351","5"
"100","6","1","2","420","6"
"100","7","1","2","520","7"
"100","8","1","2","569","8"
"100","9","1","3","637","9"
"100","10","1","3","710","10"
"101","0","0","0","0","0"
"101","1","0","0","46","1"
"101","2","1","0","123","2"
"101","3","1","0","175","3"
"101","4","1","1","254","4"
"101","5","2","1","344","5"
"101","6","2","1","424","6"
"101","7","2","1","495","7"
"101","8","2","1","565","8"
"101","9","3","1","642","9"
"101","10","4","1","695","10"
"101","11","4","2","782","11"
"102","0","0","0","0","0"
"102","1","0","1","71","1"
"102","2","0","2","119","2"
"102","3","1","2","202","3"
"102","4","1","2","297","4"
"102","5","2","2","376","5"
"102","6","2","2","459","6"
"102","7","3","2","561","7"
"102","8","4","2","634","8"
"102","9","4","2","685","9"
"102","10","4","2","748","10"
"103","0","0","0","0","0"
"103","1","0","0","54","1"
"103","2","0","0","143","2"
"103","3","0","0","206","3"
"103","4","0","0","261","4"
"103","5","1","0","352","5"
"103","6","1","1","431","6"
"103","7","1","1","475","7"
"103","8","2","1","528","8"
"103","9","3","1","582","9"
"103","10","3","1","661","10"
"103","11","4","1","747","11"
"104","0","0","0","0","0"
"104","1","0","1","84","1"
"104","2","0","1","161","2"
"104","3","0","2","232","3"
"104","4","0","3","284","4"
"104","5","0","3","343","5"
"104","6","1","3","403","6"
"104","7","1","3","487","7"
"104","8","2","3","563","8"
"104","9","2","4","624","9"
"104","10","2","5","696","10"
"104","11","2","6","772","11"
"105","0","0","0","0","0"
"105","1","1","0","64","1"
"105","2","2","0","111","2"
"105","3","2","1","197","3"
"105","4","2","1","240","4"
"105","5","2","1","311","5"
"105","6","2","1","388","6"
"105","7","2","1","438","7"
"105","8","3","1","496","8"
"105","9","3","2","542","9"
"105","10","3","3","621","10"
"105","11","3","4","681","11"
"105","12","3","4","736","12"
"106","0","0","0","0","0"
"106","1","0","1","66","1"
"106","2","0","1","110","2"
"106","3","1","1","199","3"
"106","4","1","2","275","4"
"106","5","1","3","335","5"
"106","6","1","3","390","6"
"106","7","1","3","459","7"
"106","8","1","3","543","8"
"106","9","1","3","594","9"
"106","10","1","4","673","10"
"106","11","2","4","746","11"
"107","0","0","0","0","0"
"107","1","0","0","80","1"
"107","2","0","0","162","2"
"107","3","0","0","255","3"
