"play","step","Systems / 205","Neuroptics / 207","Circuits / 209","Runs / 228"
"126","0","0","0","0","0"
"126","1","1","0","154","1"
"126","2","1","0","243","2"
"126","3","1","0","338","3"
"126","4","1","1","473","4"
"126","5","1","1","606","5"
"126","6","2","1","728","6"
"127","0","0","0","0","0"
"127","1","0","0","93","1"
"127","2","0","0","184","2"
"127","3","1","0","262","3"
"127","4","2","0","325","4"
"127","5","2","0","442","5"
"127","6","2","0","563","6"
"127","7","2","0","665","7"
"127","8","2","1","759","8"
"128","0","0","0","0","0"
"128","1","1","0","111","1"
"128","2","1","1","226","2"
"128","3","2","1","320","3"
"128","4","2","2","419","4"
"128","5","3","2","515","5"
"128","6","3","2","601","6"
"128","7","3","2","704","7"
"129","0","0","0","0","0"
"129","1","1","0","86","1"
"129","2","1","0","198","2"
"129","3","1","0","298","3"
"129","4","2","0","390","4"
"129","5","2","0","479","5"
"129","6","2","0","579","6"
"129","7","3","0","692","7"
"129","8","3","1","768","8"
"130","0","0","0","0","0"
"130","1","0","1","118","1"
"130","2","0","1","216","2"
"130","3","1","1","338","3"
"130","4","1","2","447","4"
"130","5","1","3","547","5"
"130","6","2","3","677","6"
"130","7","2","3","761","7"
"131","0","0","0","0","0"
"131","1","1","0","134","1"
"131","2","1","0","234","2"
"131","3","1","1","333","3"
"131","4","2","1","416","4"
"131","5","2","1","535","5"
"131","6","2","1","648","6"
"131","7","2","2","721","7"
"132","0","0","0","0","0"
"132","1","0","1","94","1"
"132","2","0","2","186","2"
"132","3","0","3","299","3"
"132","4","0","4","387","4"
"132","5","0","4","516","5"
"132","6","0","4","616","6"
"132","7","1","4","740","7"
"133","0","0","0","0","0"
"133","1","0","0","97","1"
"133","2","1","0","207","2"
"133","3","1","0","269","3"
"133","4","1","1","388","4"
"133","5","2","1","483","5"
"133","6","3","1","585","6"
"133","7","3","1","664","7"
"133","8","4","1","790","8"
"134","0","0","0","0","0"
"134","1","0","1","122","1"
"134","2","0","2","207","2"
"134","3","0","3","283","3"
"134","4","1","3","410","4"
"134","5","1","3","502","5"
"134","6","1","4","598","6"
"134","7","1","5","716","7"
"135","0","0","0","0","0"
"135","1","1","0","131","1"
"135","2","1","1","216","2"
"135","3","1","1","346","3"
"135","4","1","2","464","4"
"135","5","2","2","576","5"
"135","6","3","2","676","6"
"135","7","3","2","786","7"
"136","0","0","0","0","0"
"136","1","0","1","105","1"
"136","2","0","2","182","2"
"136","3","0","3","283","3"
"136","4","0","4","397","4"
"136","5","0","5","451","5"
"136","6","0","5","554","6"
"136","7","0","5","677","7"
"136","8","0","5","785","8"
"136","9","0","6","880","9"
"136","10","0","7","971","10"
"136","11","0","8","1047","11"
"136","12","1","8","1156","12"
"137","0","0","0","0","0"
"137","1","0","1","55","1"
"137","2","0","2","136","2"
"137","3","0","3","265","3"
"137","4","0","3","385","4"
"137","5","0","3","508","5"
"137","6","1","3","600","6"
"137","7","1","4","703","7"
"138","0","0","0","0","0"
"138","1","0","1","71","1"
"138","2","0","1","196","2"
"138","3","1","1","308","3"
"138","4","2","1","398","4"
"138","5","2","1","485","5"
"138","6","2","1","603","6"
"138","7","2","1","712","7"
"139","0","0","0","0","0"
"139","1","0","0","97","1"
"139","2","0","0","212","2"
"139","3","0","1","328","3"
"139","4","0","1","430","4"
"139","5","0","1","520","5"
"139","6","0","2","634","6"
"139","7","0","3","725","7"
"139","8","0","3","801","8"
"139","9","0","3","910","9"
"139","10","1","3","983","10"
"140","0","0","0","0","0"
"140","1","0","1","121","1"
"140","2","0","2","219","2"
"140","3","0","3","333","3"
"140","4","0","3","419","4"
"140","5","0","3","552","5"
"140","6","0","4","670","6"
"140","7","0","5","774","7"
"140","8","0","6","864","8"
"140","9","1","6","989","9"
"141","0","0","0","0","0"
"141","1","0","0","85","1"
"141","2","0","1","179","2"
"141","3","0","1","265","3"
"141","4","0","1","355","4"
